CUSTOMER_ID,GovernmentId,Id_InstitutionCNES,Institution
0013h000010MtJfAAK,5.25E+18,2080052,HOSPITAL NOSSA SENHORA APARECIDA
0013h000010Mt8rAAC,5.05E+18,2085194,HOSPITAL SAO FRANCISCO DE ASSIS
0013h000010Mv4nAAC,4.46E+18,2082101,HOSPITAL MODELO
0013h000029STH7AAO,4.03E+17,2000733,MATERNIDADE E CLINICA DE MULHERES BARBARA HELIODORA
NULL,7.26E+18,3018520,HOSPITAL ANCHIETA CEILANDIA
0013h00002B5lujAAB,3.95E+14,10480,HOSPITAL REGIONAL DE CEILANDIA
0013h000010MiZlAAK,2.53E+17,2506858,HOSPITAL E MATERNIDADE DONA IRIS
0013h000010MpSQAA0,3.95E+16,2269880,HOSPITAL GERAL DE BONSUCESSO RJ
0013h000010MhjfAAC,6.36E+18,9297502,HOSPITAL E MATERNIDADE EUGENIA PINHEIRO
0013h000010MkQIAA0,8.09E+17,NULL,HOSPITAL SAO LUCAS
0013h000010Mv5oAAC,4.54E+13,2708566,HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO
0013h000023ahxeAAA,1.57E+16,2338424,HOSPITAL DAS CLINICAS DA UFG
0013h000010Mhm1AAC,4.89E+16,2651351,HOSPITAL DISTRITAL GONZAGA MOTA BARRA DO CEARA
0013h000010MjGKAA0,1.69E+18,NULL,HOSPITAL IMACULADA CONCEICAO
0013h000029SS4gAAG,3.90E+17,2472414,HOSPITAL E MATERNIDADE SANTA ANGELA TANGARA DA SERRA
0013h000010MkNNAA0,7.73E+18,2587165,HOSPITAL PARANA
0013h000010MsYeAAK,1.50E+18,6943284,MATERNIDADE GOTA DE LEITE DE ARARAQUARA
0014X00002ldPiBQAU,2.42E+18,NULL,MATERNIDADE DE RISCO HABITUAL ZONA NORTE DE MACAPA
0013h000010MszYAAS,4.64E+18,3028399,HOSPITAL ESTADUAL FRANCISCO MORATO
0013h000010Mv8iAAC,1.13E+17,2079860,HOSPITAL E MATERNIDADE DE SUZANO
0013h000010MigMAAS,6.28E+16,NULL,HOSPITAL UNIVIVERSITARIO UNIDADE MATERNO INFANTIL
0014X00002fGvNUQA0,8.86E+18,NULL,UBS NITEROI - SERV DE CARDIOLOGIA
0013h000010MozXAAS,6.55E+17,8015899,HOSPITAL ESTADUAL DIRCEU ARCOVERDE
0013h000029SKQcAAO,2.27E+18,2219654,HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA
0013h000010MaiOAAS,2.72E+18,2485729,HIFA - HOSPITAL MATERNO INFANTIL FRANCISCO DE ASSIS
0013h000023aR6UAAU,6.05E+17,7659415,HOSPITAL OESTE DOR
0013h000010MlABAA0,7.64E+18,2780143,HOSPITAL REGIONAL DO NORTE PIONEIRO
0013h000010MhsuAAC,7.72E+17,2328399,HOSPITAL E MATERNIDADE JESUS MARIA JOSE
NULL,6.00E+18,2798298,SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO
0013h000010Mu1LAAS,1.83E+18,3008398,CASA DE SAUDE SANTOS
0013h000010MsH6AAK,8.35E+17,2303892,HOSPITAL SAO FRANCISCO
0013h000010MkWmAAK,1.06E+17,2351994,HOSPITAL DE CARUARU JESUS NAZARENO
0013h000010MhotAAC,7.95E+17,NULL,HEMOCE DE SOBRAL
0013h000010Mk0YAAS,7.69E+18,3000907,HOSPITAL E MATERNIDADE SANTA BRIGIDA
0013h000010Mt6EAAS,4.64E+18,2078104,HOSPITAL GERAL DE ITAPEVI
0013h000023aTxzAAE,4.64E+18,2077574,CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO
0013h000010MtgcAAC,6.00E+18,NULL,SANTA CASA DE MISERICORDIA
0013h000010Msw2AAC,4.64E+18,2792141,HOSPITAL REGIONAL DE COTIA
0013h000010MZlCAAW,6.18E+17,NULL,HOSPITAL PUBLICO MUNICIPAL DE MACAE HPM- SERV DE PEDIATRIA
0013h000010MsSNAA0,7.34E+18,2568713,HOSPITAL REGIONAL ALTO VALE
NULL,8.09E+17,17884,HOSPITAL SAO LUCAS
0013h000010Mv8RAAS,2.31E+18,7849184,HOSPITAL SANTA MARIA DE SUZANO
0013h000010MgcuAAC,6.07E+18,9488227,HOSPITAL E MATERNIDADE SANTA MARIA
0013h000010MZBlAAO,6.20E+17,3018172,HOSPITAL MUNICIPAL MATERNO INFANTIL NOSSA SENHORA DAS MERCES
NULL,4.29E+18,9590676,NEOCENTER
0013h000010MkWpAAK,2.44E+18,5615895,HOSPITAL UNIMED CARUARU
0013h000010Mi2nAAC,6.05E+17,3019608,HOSPITAL SANTA HELENA
NULL,1.65E+18,9755128,HOSPITAL UNIMED - UNIDADE BETIM
NULL,6.36E+18,7975023,HOSPITAL AMERICA
0013h000010MclSAAS,2.97E+17,NULL,HOSPITAL INFANTIL DR. JUVENCIO MATTOS
NULL,3.45E+17,2290227,HOSPITAL MUNICIPAL ADAO PEREIRA NUNES
0013h000010Msb9AAC,4.48E+18,2092611,SANTA CASA DE MISERICORDIA DE BARRETOS
0013h000010MrjcAAC,8.86E+18,2223538,HOSPITAL GERAL DE CAXIAS DO SUL
0013h000010Me6ZAAS,3.15E+18,2288907,APMIR
0013h000010MszAAAS,4.53E+18,2080753,SAO JOAQUIM HOSPITAL E MATERNIDADE
0013h000029StYpAAK,1.67E+18,2192896,HOSPITAL METROPOLITANO ODILON BEHRENS - HOB
NULL,8.54E+18,5504775,UNIMED LITORAL
0013h00001BJx3qAAD,9.62E+18,2259907,HOSPITAL REGIONAL DAS MISSOES
0013h000018HDCDAA4,1.52E+18,NULL,LIGA ALVARO BAHIA CONTRA A MORTALIDADE INFANTIL
0013h000010Mj88AAC,6.36E+18,27871,MATERNIDADE OCTAVIANO NEVES
0013h000010MjYGAA0,2.54E+18,2206595,HOSPITAL DE CLINICAS DA UFTM
0013h000010MroxAAC,9.20E+18,2246988,HOSPITAL SAO VICENTE DE PAULO
0013h000010MragAAC,8.24E+17,2408570,HOSPITAL DR JOSE PEDRO BEZERRA
0013h000010MZjrAAG,2.55E+18,26794,HOSPITAL SOFIA FELDMAN
0013h000010MtJ0AAK,4.65E+17,2082349,HOSPITAL DE CLINICAS DR RADAMES NARDINI
0013h000010MalbAAC,4.64E+18,5420938,HOSPITAL MUNICIPAL CIDADE TIRADENTES
0013h000010MjaEAAS,2.58E+17,2151871,HOSPITAL SANTA CLARA
0013h00002B5opBAAR,2.30E+17,2615746,HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES
0013h000010McJXAA0,7.92E+18,NULL,PAB HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA
0013h000010MuGPAA0,4.64E+18,2077701,HOSPITAL MATERNIDADE LEONOR MENDES DE BARROS
0013h000010MpFAAA0,4.25E+18,12521,HOSPITAL ESTADUAL AZEVEDO LIMA
0013h000010Mv7uAAC,4.64E+18,2083981,HOSPITAL ESTADUAL SUMARE
