CUSTOMER_ID,CRM_CNPJ,CnesId,CUSTOMER_FULL_NAME
0013h000010Mal8AAC,4.63745E+13,2755130,HOSPITAL REGIONAL DE PRESIDENTE PRUDENTE
0013h000010MilTAAS,3.09916E+12,2396866,SANTA CASA DE RONDONOPOLIS
0013h000010MaUuAAK,8.02612E+12,5073898,DOMINGOS LOURENCO - HOSPITAL E MATERNIDADE
0013h000010MhgCAAS,7.2724E+12,3053687,GASTROCLINICA
0013h000029SJOxAAO,3.947E+11,10537,HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA- HMIB
0013h000010MiLkAAK,2.70806E+13,2678179,HOSPITAL INFANTIL E MATERNIDADE ALZIR BERNARDINO ALVES
0013h000010MiOTAA0,2.52996E+12,2339196,HOSPITAL ESTADUAL DA MULHER DR JURANDIR DO NASCIMENTO HEMU
0013h000010Mig7AAC,2.97324E+12,2309254,MATERNIDADE DE ALTA COMPLEXIDADE DO MARANHAO
0013h000010MtD5AAK,5.14737E+13,2081458,SANTA CASA DE LIMEIRA
0013h000010LGlPAAW,6.07426E+13,2077620,HOSPITAL GERAL SANTA MARCELINA DO ITAIM PAULISTA
0013h000010MuZxAAK,4.63921E+13,2079186,HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA
0013h000010MucwAAC,6.06786E+13,2079542,HOSPITAL E MATERNIDADE SANTA JOANA
0013h000010MufBAAS,4.63745E+13,2077671,HOSP EST DO GRAJAU PROF LIBERATO JOHN ALPHONSE DI DIO
0013h000010MuvJAAS,6.09614E+13,2089602,HOSPITAL SEPACO
0013h000010MvIuAAK,4.63745E+13,2087804,HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHAEM
0013h000010McDEAA0,2.9435E+13,6668143,HOSPITAL E MATERNIDADE VITORIA
0013h000010MdFGAA0,7.65622E+13,2715864,HOSPITAL NOSSA SRA DAS GRACAS MATERNIDADE MATER DEI
0013h000010Mk0YAAS,7.68826E+13,3000907,HOSPITAL E MATERNIDADE SANTA BRIGIDA
0013h000010Mk8fAAC,7.65832E+13,15717,MATERNIDADE NOSSA SENHORA DE FATIMA
0013h000010MpESAA0,3.37811E+13,2708353,INSTITUTO FERNANDES FIGUEIRA
0013h000010MpOtAAK,2.94681E+13,2270609,HOSPITAL MUNICIPAL LOURENCO JORGE
0013h000010MpY5AAK,2.1583E+13,2295407,HOSPITAL MUNICIPAL ROCHA FARIA
0013h000010Mr8aAAC,2.94681E+13,2280248,HOSPITAL MATERNIDADE CARMELA DUTRA
0013h000010MrDXAA0,2.9435E+13,7421710,HOSPITAL PASTEUR
0013h000010McOrAAK,3.34195E+13,6159397,PERINATAL BARRA
0013h000010Mt6EAAS,4.63745E+13,2078104,HOSPITAL GERAL DE ITAPEVI
0013h000010MnfQAAS,1.5541E+12,2337800,HOSPITAL JACOB FACURI
0013h000010MdwUAAS,4.8852E+12,7047428,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN
0013h000010MhgBAAS,7.13697E+12,3394514,HOSPITAL GENESIS
0013h000010MhjsAAC,6.09757E+13,2611686,HOSPITAL CURA D'ARS
0013h000010Mhm1AAC,4.8852E+12,2651351,HOSPITAL DISTRITAL GONZAGA MOTA BARRA DO CEARA
0013h000010MhqhAAC,4.8852E+12,2529068,HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER
0013h000010MhruAAC,7.95457E+12,2563681,HIAS - HOSPITAL INFANTIL ALBERT SABIN
0013h000010MidZAAS,2.97324E+12,2452383,HOSPITAL REGIONAL MATERNO INFANTIL DE IMPERATRIZ
0013h000010MigMAAS,6.2791E+12,0,HOSPITAL UNIVIVERSITARIO UNIDADE MATERNO INFANTIL
0013h000010MjkuAAC,6.38465E+13,5332427,SAUDE HOSPITAL E MATERNIDADE
0013h000010Mp0bAAC,7.95397E+11,2323508,CLINICA DE IMAGEM LUCIDIO PORTELLA
0013h000010Mp2FAAS,7.48191E+12,2551926,CLINICA SANTA FE LTDA
0013h000010MunRAAS,6.04709E+12,5907594,SAO LUIZ - UNIDADE ANALIA FRANCO
0013h000010MgcuAAC,6.06786E+13,9488227,HOSPITAL E MATERNIDADE SANTA MARIA
0013h000010MnTdAAK,6.16996E+13,2084163,HOSPITAL ESTADUAL DE DIADEMA GOVERNADOR ORESTES QUERCIA
0013h000010MojzAAC,4.46498E+13,9738754,HOSPITAL E MATERNIDADE NOTRECARE ABC
0013h000010Ma58AAC,1.39371E+13,3840,MATERNIDADE ALBERT SABIN
0013h000010MaatAAC,8.99392E+12,2362287,INSTITUTO DE SAUDE ELPIDIO DE ALMEIDA
0013h000010MgkpAAC,1.25178E+13,2009250,MATERNIDADE ESCOLA SANTA MONICA
0013h000010MhGxAAK,4.06372E+13,2799278,HOSPITAL INACIA PINTO DOS SANTOS
0013h000010MhWAAA0,1.18586E+13,2386569,MATERNIDADE PROFESSOR JOSE MARIA DE MAGALHAES NETO
0013h000010MhqnAAC,1.51264E+13,2481286,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND
0013h00001BJvtmAAD,2.44641E+13,2006197,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES
0013h000029SJ4MAAW,2.56484E+13,2146355,HOSPITAL DE CLINICAS DA UFU
0013h000010MjTSAA0,2.36472E+13,2129469,SANTA CASA DE POCOS DE CALDAS
0013h000010MkGVAA0,3.04148E+11,2591049,HOSPITAL ITAMED
0013h000010MkQhAAK,8.02389E+13,2686953,SANTA CASA DE MISERICORDIA DE PONTA GROSSA
0013h00002BqwSTAAZ,1.51264E+13,27049,HOSPITAL DAS CLINICAS DA UFMG
0013h000010Ma53AAC,8.53772E+13,5504775,UNIMED LITORAL
0013h000010MjxXAAS,7.60819E+13,2738899,HOSPITAL POLICLINICA CASCAVEL
0013h000010MkHwAAK,7.81432E+13,2783789,SANTA CASA DE IRATI
0013h000010MkQIAA0,8.09262E+12,17884,HOSPITAL SAO LUCAS
0013h000010MshhAAC,5.32213E+13,2704900,HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS
0013h000010MZlCAAW,6.18001E+12,5412447,HOSPITAL PUBLICO MUNICIPAL DE MACAE HPM
0013h000010MaGOAA0,4.24987E+13,6518893,HOSPITAL DA MULHER HELONEIDA STUDART
0013h000010MbMxAAK,3.5918E+13,6635148,HOSPITAL UNIMED
0013h000010MeBiAAK,2.94681E+13,7027397,HOSPITAL MATERNIDADE MARIA AMELIA BUARQUE DE HOLLANDA
0013h000010MeSEAA0,6.04709E+12,7244339,HOSPITAL CAXIAS D'OR
0013h000010Mp8LAAS,2.89479E+13,2298317,HOSPITAL DOS PLANTADORES DE CANA
0013h000010MpABAA0,3.45247E+12,2290227,HOSPITAL MUNICIPAL ADAO PEREIRA NUNES
0013h000010MpBQAA0,2.96406E+13,2278855,HOSPITAL SAO JOSE DO AVAI
0013h000029SAEoAAO,3.16359E+13,2299216,HOSPITAL SAMER SERVICO DE ASSISTENCIA MEDICA DE RESENDE
0013h000010MpYQAA0,3.37568E+13,3046281,CASA DE SAUDE NOSSA SENHORA DO CARMO
0013h000029SsdWAAS,2.94681E+13,2270269,SMS HOSPITAL MUNICIPAL MIGUEL COUTO AP 21
0013h000010Mr7IAAS,3.36637E+13,2270021,MATERNIDADE ESCOLA DA UFRJ
